 SERIAL NO.,ROOM'S,CAPACITY,LOCATION
1,CR 1,30,AB-1(RAMANUJAM BHAWAN) GROUND FLOOR
2,CR 2,30,AB-1(RAMANUJAM BHAWAN) GROUND FLOOR
3,CR 3,30,AB-1(RAMANUJAM BHAWAN) GROUND FLOOR
4,CR 4,30,AB-1(RAMANUJAM BHAWAN) GROUND FLOOR
5,CR 5,30,AB-1(RAMANUJAM BHAWAN) FIRST FLOOR
6,CR 6,30,AB-1(RAMANUJAM BHAWAN) SECOND FLOOR
7,CR 7,30,AB-1(RAMANUJAM BHAWAN) SECOND FLOOR
8,CR 8,30,AB-1(RAMANUJAM BHAWAN) SECOND FLOOR
9,CR 9,30,AB-2(RAMAN BHAWAN) GROUND FLOOR
10,CR 10,30,AB-2(RAMAN BHAWAN) GROUND FLOOR
11,CR 11,30,AB-2(RAMAN BHAWAN) FIRST FLOOR
12,CR 12,30,AB-2(RAMAN BHAWAN)  FIRST FLOOR
13,CR 14,30,AB-2(RAMAN BHAWAN)  FIRST FLOOR
14,CR 15,30,AB-2(RAMAN BHAWAN)  SECOND FLOOR
15,CR 16,30,AB-2(RAMAN BHAWAN)  SECOND FLOOR
16,CR 17,30,AB-2(RAMAN BHAWAN)  SECOND FLOOR
17,CR 18,60,AB-2(RAMAN BHAWAN) SECOND FLOOR
18,CR 19,60,AB-2(RAMAN BHAWAN)  SECOND FLOOR
19,CR 20,30,AB-3(VISHVESWARYA BHAWAN) GROUND FLOOR
20,CR 21,30,AB-3(VISHVESWARYA BHAWAN) FIRST FLOOR
21,CR 22,30,AB-3(VISHVESWARYA BHAWAN) FIRST FLOOR
22,CR 23,30,AB-3(VISHVESWARYA BHAWAN) FIRST FLOOR
23,CR 24,60,AB-3(VISHVESWARYA BHAWAN) FIRST FLOOR
24,CR 25,60,AB-3(VISHVESWARYA BHAWAN) SECOND FLOOR
25,CR 26,30,AB-3(VISHVESWARYA BHAWAN) SECOND FLOOR
26,CR 27,30,AB-3(VISHVESWARYA BHAWAN) SECOND FLOOR
27,CR 28,60,AB-3(VISHVESWARYA BHAWAN) SECOND FLOOR
28,CR 29,30,AB-3(VISHVESWARYA BHAWAN) SECOND FLOOR
29,CR 30,30,AB-3(VISHVESWARYA BHAWAN) SECOND FLOOR
30,CR 31,30,AB-3(VISHVESWARYA BHAWAN) SECOND FLOOR
31,LT 1,150,AB-1(RAMANUJAM BHAWAN) GROUND FLOOR
32,LT 2,150,AB-1(RAMANUJAM BHAWAN) GROUND FLOOR
33,LT 3,150,AB-1(RAMANUJAM BHAWAN) FIRST FLOOR
34,LT 4,150,AB-1(RAMANUJAM BHAWAN) FIRST FLOOR
35,LT 5,250,AB-2(RAMAN BHAWAN) GROUND FLOOR
36,LT 6,120,AB-4(RAMANUJAM BHAWAN) GROUND FLOOR
37,LT 7,120,AB-4(RAMANUJAM BHAWAN) GROUND FLOOR
38,LT 8,120,AB-4(RAMANUJAM BHAWAN) GROUND FLOOR
39,LT 9,120,AB-4(RAMANUJAM BHAWAN) GROUND FLOOR
40,LT 11,120,AB-4(RAMANUJAM BHAWAN) FIRST FLOOR
41,LT 12,120,AB-4(RAMANUJAM BHAWAN) FIRST FLOOR
42,LT 14,120,AB-4(RAMANUJAM BHAWAN) FIRST FLOOR
43,LT 15,120,AB-4(RAMANUJAM BHAWAN) SECOND FLOOR
44,LT 16,120,AB-4(RAMANUJAM BHAWAN) SECOND FLOOR
45,CL 1,60,AB-1(RAMANUJAM BHAWAN) GROUND FLOOR
46,CL 2,60,AB-1(RAMANUJAM BHAWAN) GROUND FLOOR
47,CL 3,60,AB-1(RAMANUJAM BHAWAN) FIRST FLOOR
48,CL 4,60,AB-1(RAMANUJAM BHAWAN) FIRST FLOOR
49,CL 5,60,AB-1(RAMANUJAM BHAWAN) SECOND FLOOR
50,LANGUAGE LAB,60,AB-2(RAMAN BHAWAN) SECOND FLOOR
51,VLSI LAB,30,AB-1(RAMANUJAM BHAWAN) SECOND FLOOR
52,DLC LAB,60,AB-4(RAMANUJAM BHAWAN) FIRST FLOOR
53,TAGOR HALL,1000,NEAR MECHANICAL DEPARTMENT
